140,402,249,421,247,434,139,414,Latin,02)888-6531
148,365,257,386,250,418,141,398,Korean,금강고시원
544,720,664,734,662,750,544,737,Latin,010-4278-4280
542,688,669,704,668,725,540,706,Latin,02)888-6531
551,648,676,666,669,696,545,678,Korean,금강고시원
610,447,673,461,645,655,585,646,Korean,빈방있슴니다
615,374,689,392,686,433,614,416,Latin,119
637,359,673,368,672,378,637,369,None,###
604,345,630,348,629,366,606,363,Latin,290
637,343,678,352,675,370,637,360,Korean,서림갈
569,210,813,276,810,307,563,242,Latin,888-6531
576,140,708,135,705,202,581,201,Korean,금강
738,148,826,212,797,262,700,193,Korean,서원
