1080,467,1031,649,94,683,143,458,Latin,Panificio
912,869,904,964,172,960,188,869,Latin,PANIFICIO
1841,530,1850,558,1806,556,1791,531,Latin,VIA
1637,600,1802,600,1802,630,1637,629,Latin,GIOVANNI
1841,596,2013,596,2012,628,1840,626,Latin,RICORDI
1873,667,1878,684,1765,684,1765,669,Latin,###
1827,915,2046,916,2048,956,1823,952,Latin,Consultorio
2078,918,2272,920,2270,962,2072,964,Latin,Pediatrico
2092,986,2205,987,2211,1017,2095,1014,Latin,zona
2240,979,2268,977,2270,1018,2240,1015,Latin,3
1832,1067,2054,1066,2055,1109,1831,1106,Latin,Consultorio
2083,1066,2265,1075,2267,1111,2082,1109,Latin,familiare
2093,1139,2202,1142,2207,1171,2090,1167,Latin,zona
2233,1131,2266,1129,2265,1171,2238,1168,Latin,3
2772,1193,2761,1239,2518,1239,2531,1183,None,###
2715,1292,2706,1328,2602,1326,2609,1292,None,###
2611,1330,2702,1332,2695,1368,2607,1366,None,###
2699,1537,2756,1564,2747,1576,2667,1571,None,###
2652,1587,2773,1584,2775,1612,2653,1605,None,###
2753,1658,2799,1657,2799,1675,2756,1675,Latin,SEX
2756,1675,2805,1674,2796,1687,2755,1687,Latin,SHOP
2754,1690,2801,1690,2802,1701,2755,1699,Latin,BUSHIDO
2755,1702,2802,1700,2802,1711,2755,1710,Latin,DOUTLAUE
2758,1718,2800,1718,2800,1729,2757,1728,None,###
2768,1732,2791,1732,2792,1743,2770,1743,None,###
2869,1751,2870,1760,2821,1760,2823,1750,None,###
2869,1727,2871,1739,2818,1738,2818,1725,None,###
2875,1675,2873,1691,2819,1694,2817,1677,Latin,###
2913,1827,2912,1849,2891,1846,2891,1825,Latin,39
2959,1831,2960,1847,2929,1846,2930,1826,Latin,Via
3041,1828,3039,1849,2965,1848,2965,1826,Latin,PIITERI
3241,1695,3239,1704,3213,1703,3212,1695,Latin,###
2764,851,2783,855,2790,889,2762,883,None,###
2765,949,2789,949,2797,984,2760,980,None,###
2838,821,2897,830,2898,905,2839,893,Latin,Gi
2906,852,2971,871,2972,905,2904,888,Latin,Group
2906,897,2978,911,2978,919,2906,906,None,###
2839,959,2851,964,2850,976,2839,974,Latin,Lo
2854,963,2880,966,2882,982,2852,982,Latin,primo
2885,967,2951,979,2951,994,2885,983,Latin,mulrinozionole
2838,981,2875,989,2874,1003,2838,997,Latin,ilaliono
2879,988,2894,990,2893,1007,2877,1003,Latin,del
2896,989,2925,1002,2925,1012,2894,1008,Latin,lavora
2838,1030,2872,1036,2860,1045,2837,1040,None,###
2876,1041,2927,1041,2925,1056,2867,1048,None,###
3711,1212,3751,1231,3742,1273,3702,1260,None,###
2143,636,2180,694,2176,719,2139,653,None,###
2206,702,2275,835,2273,891,2199,781,None,###
2323,899,2363,982,2354,1086,2313,1040,None,###
