408,3462,505,3472,475,3564,375,3567,Latin,la
383,3291,1406,3290,1402,3383,384,3415,Latin,Curcuma
1486,3299,2132,3315,2105,3425,1482,3396,Latin,moulu
1311,3052,1746,3037,1740,3268,1310,3291,Arabic,كركم
633,3099,1220,3088,1226,3305,639,3316,Arabic,مرحي
799,2425,1761,2434,1786,2858,769,2808,Arabic,ريمة
1914,3455,2168,3452,2146,3532,1887,3523,Latin,donne
1667,3453,1870,3464,1849,3526,1658,3519,Latin,vous
1792,2534,1862,2534,1842,2602,1792,2603,Latin,R
523,3464,833,3457,804,3534,500,3556,Latin,nature
858,3457,1088,3447,1068,3524,833,3537,Latin,nous
1115,3434,1390,3432,1370,3517,1090,3519,Latin,donne
1413,3432,1520,3434,1490,3514,1395,3514,Latin,et
1533,3439,1650,3454,1623,3524,1508,3512,Latin,on
0,3592,350,3609,341,3735,5,3699,Latin,PRODUITS
1,3751,355,3786,357,3932,4,3901,Latin,SÉLECTIONNES
