164,355,188,368,186,377,161,365,None,###
605,119,766,110,774,178,616,187,Latin,Don't
658,200,744,197,758,281,667,285,Latin,My
755,194,885,194,899,241,763,262,Latin,Care
467,393,499,388,502,408,473,411,Latin,Take
465,413,495,408,499,422,470,429,Latin,Care
417,320,444,328,441,340,413,331,Latin,Don't
447,325,473,336,468,347,444,339,Latin,Take
419,332,436,339,430,355,417,348,Latin,My
436,340,462,349,457,357,434,351,Latin,Care
518,373,532,375,531,383,514,383,Latin,Take
512,384,529,385,526,394,510,394,Latin,Care
777,115,914,101,923,162,788,177,Latin,Take
174,396,202,397,203,408,172,406,None,###
250,356,281,348,282,356,251,366,Latin,###
252,366,281,358,284,365,255,375,Latin,###
249,376,286,366,287,377,251,387,Latin,###
255,385,284,378,286,385,257,394,Latin,###
250,397,284,390,285,398,251,406,None,###
325,371,355,372,355,382,324,379,None,###
395,371,421,371,422,379,395,379,None,###
451,398,468,394,473,411,456,416,Latin,###
497,374,516,372,516,383,502,384,None,###
500,385,512,384,510,396,501,395,None,###
752,381,778,374,782,383,755,391,Latin,###
