491,76,509,86,493,108,478,92,Arabic,الله
111,61,130,76,113,97,97,81,Arabic,الله
549,74,568,84,553,107,536,93,Arabic,الله
616,74,635,88,616,111,602,91,Arabic,الله
213,83,230,64,247,80,229,99,Arabic,الله
154,83,173,65,189,77,169,98,Arabic,الله
450,134,469,104,490,119,457,161,Arabic,اكبر
88,91,108,103,91,130,70,120,Arabic,###
120,129,143,94,164,107,138,149,Arabic,اكبر
182,132,205,95,225,108,196,151,Arabic,اكبر
502,139,527,102,545,116,520,155,Arabic,اكبر
565,145,588,103,610,116,585,159,Arabic,اكبر
