849,902,1876,930,1884,1078,854,1062,Chinese,兰姐风干肉抓饭
837,1194,1919,1202,1923,1308,842,1306,Chinese,中盘肉:65元(送两份素抓饭)
850,1662,1411,1651,1414,1768,854,1780,Chinese,小份肉抓饭:
849,1426,1927,1418,1936,1531,854,1546,Chinese,大盘肉:110元(送三份素抓饭)
863,1904,1422,1882,1427,1995,867,2017,Chinese,中份肉抓饭:
861,2144,1431,2113,1437,2231,865,2263,Chinese,大份肉抓饭:
869,2388,1439,2343,1448,2460,878,2504,Chinese,素抓饭:
1599,1652,1782,1644,1786,1747,1603,1755,Chinese,20元
1612,1878,1795,1870,1799,1969,1616,1977,Chinese,25元
1620,2108,1809,2096,1816,2194,1625,2205,Chinese,30元
1633,2336,1816,2320,1825,2429,1643,2445,Chinese,10元
