303,72,526,69,527,109,304,112,Chinese,风雨桥
321,121,420,118,421,141,322,143,Latin,Covered
281,240,560,240,560,280,281,280,Chinese,苗族博物馆
346,290,399,288,399,310,346,312,Latin,Miao
289,406,566,406,566,444,289,444,Chinese,布朗族博物馆
349,452,412,452,412,475,349,475,Latin,Blang
303,555,568,555,568,593,303,593,Chinese,拉祜族博物馆
359,599,416,599,416,619,359,619,Latin,Lahu
425,120,508,120,508,142,425,142,Latin,Bridge
403,292,503,287,504,306,403,311,Latin,Museum
417,453,513,453,513,469,417,469,Latin,Museum
418,601,511,601,511,619,418,619,Latin,Museum
